Model,accuracy,precision,recall,f1,roc_auc
LogisticRegression,0.79,0.6875,0.55,0.6111111111111112,0.8125000000000001
DecisionTree,0.695,0.4927536231884058,0.5666666666666667,0.5271317829457365,0.7077976190476191
RandomForest,0.785,0.6976744186046512,0.5,0.5825242718446602,0.8201190476190476
XGBoost,0.735,0.5538461538461539,0.6,0.576,0.7863095238095237
